timesteps,episode_reward,episode_length
8,-0.877082,1
64,-1.98716,8
168,-2.166273,13
552,-5.043913,48
616,-6.465231,76
624,1.184019,78
840,-3.421988,27
944,-0.262033,118
992,1.608353,124
1016,-2.257274,127
1032,-2.2347,11
1088,0.695468,12
1096,-1.236428,1
1104,-2.324592,11
1128,-1.799877,4
1136,-1.217498,4
1144,-1.544501,14
1184,-3.96783,79
1248,-1.239471,14
1296,-1.76345,19
1552,0.046914,53
1576,-3.703712,120
1648,0.053197,44
1688,-2.167976,14
1712,-6.757106,214
1816,-4.012102,16
1872,-1.003284,20
1888,-1.78212,30
2032,-2.328382,20
2032,-0.180721,18
2040,-1.50815,1
2080,-1.567798,6
2088,-0.932245,105
2168,-0.504763,16
2192,-0.438266,47
2456,-5.067894,113
2480,1.139487,50
2504,-1.247495,3
2576,0.120888,15
2648,-8.971913,183
2752,-4.165409,73
2800,-1.262412,6
2816,-1.508827,2
2904,-3.308358,11
2936,-0.105149,36
2992,-3.882721,61
3056,-3.46302,108
3064,0.033865,383
3136,-8.821412,287
3216,-4.544538,39
3344,-2.204548,44
3408,-0.716169,8
3504,-3.065754,71
3552,-2.34881,6
3552,3.043394,18
3584,-6.262003,56
3592,-1.84131,5
3656,0.214287,9
3680,-1.133557,3
3736,-3.227461,23
3744,-0.280023,8
3776,-4.25691,90
3792,-1.285226,2
3896,-7.389268,226
3944,-0.282842,25
4168,2.68603,138
4352,-3.024396,95
4376,-3.8017,145
4408,-4.038464,64
4440,-3.942738,34
4480,-0.737947,238
4488,-3.659409,14
4496,-2.700009,11
4544,-1.27049,7
4560,-0.906069,8
4704,-1.686542,33
4720,-1.669031,2
4896,1.162047,22
4920,4.666849,71
4928,-0.458255,4
5104,-1.262427,145
5184,-5.823119,33
5248,-1.031407,96
5264,-0.730678,2
5408,-5.324487,38
5448,-4.058676,65
5448,2.946049,111
5752,-2.566663,38
5784,-1.67979,4
5872,-1.966953,11
5896,-4.981633,89
5968,-2.891423,9
5992,-1.792418,3
6016,-0.625148,3
6192,-1.826379,307
6248,-2.415368,47
6376,0.652088,139
6400,-0.431925,3
6464,-3.263216,56
6480,-1.404123,2
6992,-4.234761,400
7000,-5.351667,75
7056,2.115365,206
7112,-0.565402,7
7136,-0.7291,3
7400,-11.106159,357
7424,1.525929,54
7456,-5.113699,122
7528,-1.220334,160
7544,-3.911984,68
7656,-2.861122,32
7784,-3.473931,16
7792,-1.235627,1
8008,-4.448055,27
8104,-1.709495,12
8112,1.015222,122
8192,-9.704365,250
8384,-0.964435,116
8408,-2.284751,37
8536,0.086745,124
8592,0.485116,26
8648,-2.968105,400
8720,-1.239043,9
8720,-0.953332,162
8728,-1.377524,1
8856,2.869717,166
8880,-2.808688,19
8976,-2.892425,12
8992,3.792318,111
9072,1.768584,60
9080,-1.257542,28
9192,-1.106581,14
9192,0.055944,15
9256,3.271755,90
9296,0.350339,13
9432,-2.833662,57
9456,-1.472962,131
9600,1.830547,21
9616,4.549496,112
9640,2.422109,43
9656,-2.283268,5
9736,0.064472,193
9816,0.457026,27
9816,-2.055762,78
9824,-1.246668,1
9832,2.166104,24
9912,-5.046848,57
9952,0.162061,37
10008,-1.624857,7
10072,-0.486744,30
10080,0.37972,32
10128,-0.418158,7
10200,-1.119895,9
10208,-4.505579,152
10304,0.089759,71
10336,-2.939884,41
10488,-0.488139,35
10488,0.671937,36
10512,-0.831855,54
10784,5.089661,109
10816,-3.516374,60
10856,-0.952361,5
10928,-0.841312,78
11008,1.040734,65
11096,-1.334037,30
11120,-0.092796,42
11296,-4.633991,255
11376,0.24214,32
11400,3.219815,49
11416,0.964373,113
11416,-0.689918,40
11456,1.299787,20
11504,-0.805588,127
11576,-1.126404,20
11576,6.368472,81
11656,0.747114,19
11712,-1.556677,7
11840,-0.788312,33
11888,-2.084932,54
12192,6.689943,77
12288,-0.379477,56
12360,-0.219766,59
12784,-3.512007,53
12784,-1.862399,176
12896,-0.708292,14
13016,-3.086918,400
13160,1.046797,220
13488,4.701675,74
13544,3.510438,169
13608,0.385698,103
13624,0.315146,10
13664,2.662696,63
13728,-0.747915,13
13744,-1.2052,2
13824,1.984229,42
14064,-2.801042,30
14144,-5.986832,141
14160,-0.056889,12
14176,-1.214592,308
14224,-0.601535,10
14232,-0.90611,7
14232,-4.66234,71
14240,9.439159,353
14328,0.295999,11
14368,0.514586,18
14376,-2.153903,18
14472,-1.618035,12
14488,8.266923,275
14512,0.566648,35
