timesteps,episode_reward,episode_length
93,-3.672864,93
106,-2.665982,13
125,-1.481247,19
139,-0.759486,14
146,-2.491435,7
148,-1.681508,2
184,-3.310077,36
185,-1.248052,1
234,-4.128449,49
265,-3.056842,31
276,-3.327852,11
305,-2.591219,29
317,-0.012023,12
331,-1.705024,14
358,-1.774375,27
389,-3.737875,31
392,-0.574739,3
457,2.336636,65
478,-0.936303,21
481,-1.908691,3
565,-2.050616,84
698,-7.222849,133
720,-3.649296,22
910,1.935601,190
915,-0.00043,5
1004,1.838304,89
1009,-0.476076,5
1064,-1.204457,55
1104,-3.125878,40
1137,-3.480067,33
1139,-1.356813,2
1147,-1.387037,8
1161,-1.955771,14
1300,-8.638585,139
1439,-3.326632,139
1551,8.103886,112
1561,-3.126473,10
1565,-1.854248,4
1573,-1.983135,8
1605,-2.194334,32
1610,-1.891088,5
1682,-4.786468,72
1730,-2.234443,48
2030,0.808491,300
2066,-1.63734,36
2117,1.943846,51
2139,-2.576141,22
2172,-2.301177,33
2419,-0.863976,247
2427,-0.546709,8
2436,-0.265028,9
2437,-0.880501,1
2455,0.452878,18
2492,-1.335031,37
2575,4.087704,83
2585,-0.804752,10
2595,1.619712,10
2629,2.175848,34
2644,-2.317345,15
2729,-1.248932,85
2754,0.102817,25
2769,0.523908,15
2794,-2.362248,25
2819,-1.381872,25
2833,-0.06504,14
2847,-0.741167,14
2926,5.049776,79
3026,4.679715,100
3034,-1.576265,8
3041,-0.300969,7
3110,2.278116,69
3137,0.77124,27
3181,-0.410213,44
3185,-1.66002,4
3292,0.251989,107
3298,0.399038,6
3305,-0.811717,7
3483,3.821033,178
3484,1.993383,1
3515,0.009545,31
3519,-1.261548,4
3552,-0.28394,33
3680,-3.892812,128
3905,1.188405,225
3916,-0.776231,11
3926,0.267499,10
3942,-0.147049,16
4086,-3.308546,144
4146,1.126187,60
4311,5.470403,165
4400,3.259937,89
4510,3.36773,110
4567,1.421343,57
4586,-0.406799,19
4590,-1.941056,4
4716,8.332506,126
4803,0.907443,87
4804,-0.635578,1
4934,9.501,130
5007,2.939956,73
5091,4.026143,84
5149,5.892177,58
5152,-0.745508,3
5287,11.000393,135
5327,2.015411,40
5329,-1.011023,2
5360,-0.077845,31
5421,0.25931,61
5462,4.447239,41
5463,-0.763327,1
5500,-0.930378,37
5539,4.150321,39
5550,-1.561789,11
5566,0.039358,16
5580,-0.372301,14
5595,-0.797013,15
5599,-0.705959,4
5619,1.572108,20
5703,3.426586,84
5732,0.151519,29
5803,5.369054,71
5825,1.147993,22
5949,3.42384,124
5960,0.766507,11
5991,-3.33441,31
6099,9.584016,108
6128,0.010882,29
6147,0.402745,19
6208,0.129608,61
6238,4.166192,30
6287,1.57178,49
6298,0.022436,11
6320,1.22566,22
6415,7.602432,95
6447,0.626115,32
6466,1.503444,19
6477,0.464371,11
6490,0.685083,13
6535,0.284918,45
6538,-0.841189,3
6560,4.830749,22
6562,-1.08288,2
6570,-0.119214,8
6584,1.036558,14
6597,0.136412,13
6603,-1.05161,6
6650,2.967479,47
6672,1.451332,22
6693,0.64738,21
6697,-0.806222,4
6753,4.282759,56
6761,-1.075119,8
6855,8.932708,94
6909,4.543034,54
6922,0.278668,13
6999,6.812906,77
7076,4.884253,77
7081,-0.851531,5
7098,-0.726075,17
7167,3.518541,69
7200,3.497933,33
7300,5.202828,100
7330,2.166488,30
7335,-0.693877,5
7338,-0.52676,3
7364,-0.494938,26
7405,3.404668,41
7446,0.586131,41
7528,5.409142,82
7548,0.269106,20
7597,1.696398,49
7598,-1.193327,1
7682,9.719948,84
7710,3.131388,28
7736,5.948502,26
7763,4.502452,27
7766,-0.56226,3
7796,1.938284,30
7852,6.630949,56
7856,-1.259847,4
7927,4.942401,71
7962,3.147473,35
8061,9.524321,99
8130,10.167079,69
8137,-0.212786,7
8165,1.06505,28
8170,-0.128207,5
8293,13.776727,123
8332,2.502818,39
8385,9.156409,53
8409,-0.050885,24
8417,0.179085,8
8530,6.754411,113
8567,5.668614,37
8575,-0.503923,8
8588,-0.282537,13
8677,10.96489,89
8682,0.080845,5
8719,2.71011,37
8787,5.799349,68
8867,10.189582,80
8941,5.711476,74
8988,4.84275,47
9025,7.877536,37
9061,2.553772,36
9077,5.395855,16
9117,4.918389,40
9127,-0.804318,10
9168,9.386004,41
9236,7.689075,68
9238,-0.642115,2
9372,11.579325,134
9404,1.736234,32
9416,1.876988,12
9469,4.325901,53
9495,0.039271,26
9535,1.536606,40
9661,12.841488,126
9662,-0.859965,1
9751,5.2768,89
9771,1.486248,20
9795,2.622594,24
9809,0.59053,14
9814,-0.089665,5
9924,12.514427,110
9934,0.202657,10
10073,14.797334,139
10079,-0.269801,6
10117,2.054727,38
10127,0.031888,10
10137,0.080542,10
10173,2.461421,36
10224,5.089664,51
